"","DATE","SESSION","SUBJECT","COLOUR","REL.TIME","NBR.IND","DROPS","BEHAV","BEHAV1","BEHAV2","GROUP"
"239","20190816","1","PVT_H_CG","1-RED",599.874,"1","op","Rop","R","op","BA"
"240","20190816","1","BOM_V_BA","1-RED",603.852,"1","op","Rop","R","op","BA"
"241","20190816","1","TOP_V_BA","1-RED",642.605,"5","op","Rop","R","op","BA"
"242","20190816","1","TMG_V_BA","1-BLUE",650.001,"5","op","Bop","B","op","BA"
"243","20190816","1","ONP_V_BA","1-RED",660.003,"6","op","Rop","R","op","BA"
"244","20190816","1","BPG_V_BA","1-RED",662.703,"6","op","Rop","R","op","BA"
"245","20190816","1","NOT_V_MA","1-RED",672.075,"6","op","Rop","R","op","BA"
"246","20190816","1","BTV_V_BA","1-RED",679.376,"2","op","Rop","R","op","BA"
"247","20190816","1","BOM_V_BA","1-BLUE",702.202,"2","op","Bop","B","op","BA"
"248","20190816","1","TOP_V_BA","1-RED",725.408,"5","op","Rop","R","op","BA"
"249","20190816","1","BOM_V_BA","1-RED",734.001,"5","op","Rop","R","op","BA"
"250","20190816","1","OMN_V_BA","1-RED",736.828,"6","op","Rop","R","op","BA"
"251","20190816","1","ONP_V_BA","1-RED",742.776,"7","op","Rop","R","op","BA"
"252","20190816","1","BPT_V_BA","1-RED",762.704,"5","op","Rop","R","op","BA"
"253","20190816","1","BPG_V_BA","1-RED",776.001,"7","op","Rop","R","op","BA"
"254","20190816","1","NOT_V_MA","1-RED",778.138,"5","op","Rop","R","op","BA"
"255","20190816","1","BPT_V_BA","1-RED",790.071,"8","op","Rop","R","op","BA"
"256","20190816","1","BOM_V_BA","1-RED",793.459,"7","op","Rop","R","op","BA"
"257","20190816","1","OMN_V_BA","1-BLUE",796.487,"5","op","Bop","B","op","BA"
"258","20190816","1","TMP_V_BA","1-RED",818.19,"5","op","Rop","R","op","BA"
"259","20190816","1","TMG_V_BA","1-BLUE",841.863,"7","op","Bop","B","op","BA"
"260","20190816","1","BOM_V_BA","1-RED",847,"6","op","Rop","R","op","BA"
"261","20190816","1","BOM_V_BA","1-RED",887.43,"6","op","Rop","R","op","BA"
"262","20190816","1","TOP_V_BA","1-RED",893.358,"6","op","Rop","R","op","BA"
"263","20190816","1","OMN_V_BA","1-BLUE",908.156,"5","op","Bop","B","op","BA"
"264","20190816","1","ONP_V_BA","1-RED",922.612,"7","op","Rop","R","op","BA"
"265","20190816","1","BTV_V_BA","1-RED",925.463,"5","op","Rop","R","op","BA"
"266","20190816","1","BPG_V_BA","1-RED",941.863,"6","op","Rop","R","op","BA"
"267","20190816","1","BPT_V_BA","1-RED",977.196,"6","op","Rop","R","op","BA"
"268","20190816","1","BOM_V_BA","1-RED",999.746,"2","op","Rop","R","op","BA"
"269","20190816","1","ONP_V_BA","1-RED",1026.573,"5","op","Rop","R","op","BA"
"270","20190816","1","BTV_V_BA","1-RED",1036.612,"5","op","Rop","R","op","BA"
"271","20190816","1","BPG_V_BA","1-BLUE",1045.985,"3","op","Bop","B","op","BA"
"272","20190816","1","OMN_V_BA","1-BLUE",1064.263,"4","op","Bop","B","op","BA"
"273","20190816","1","TMP_V_BA","1-RED",1070.846,"6","op","Rop","R","op","BA"
"274","20190816","1","TOP_V_BA","1-BLUE",1089.591,"5","op","Bop","B","op","BA"
"275","20190816","1","NOT_V_MA","1-RED",1094.689,"5","op","Rop","R","op","BA"
"276","20190816","1","BPT_V_BA","1-RED",1107.224,"3","op","Rop","R","op","BA"
"277","20190816","1","ONP_V_BA","1-RED",1128.489,"3","op","Rop","R","op","BA"
"278","20190816","1","OMN_V_BA","1-RED",1161.639,"4","op","Rop","R","op","BA"
"279","20190816","1","NOT_V_MA","1-RED",1170.517,"6","op","Rop","R","op","BA"
"280","20190816","1","OGM_V_BA","1-RED",1175.414,"6","op","Rop","R","op","BA"
"281","20190816","1","BOM_V_BA","1-RED",1190.099,"4","op","Rop","R","op","BA"
"282","20190816","1","TOP_V_BA","1-RED",1244.452,"0","op","Rop","R","op","BA"
"283","20190816","1","BPG_V_BA","1-RED",1252.44,"6","op","Rop","R","op","BA"
"284","20190816","1","BPG_V_BA","1-RED",1301.294,"4","op","Rop","R","op","BA"
"285","20190816","1","TOP_V_BA","1-RED",1304.798,"6","op","Rop","R","op","BA"
"286","20190816","1","ONP_V_BA","1-RED",1342.143,"4","op","Rop","R","op","BA"
"287","20190816","1","BPB_V_BA","1-RED",1384.735,"5","op","Rop","R","op","BA"
"288","20190816","1","BPG_V_BA","1-BLUE",1397.233,"4","op","Bop","B","op","BA"
"289","20190816","1","ONP_V_BA","1-RED",1421.083,"4","op","Rop","R","op","BA"
"290","20190816","1","TMP_V_BA","1-RED",1461.045,"4","op","Rop","R","op","BA"
"291","20190816","1","ONP_V_BA","1-RED",1468.023,"4","op","Rop","R","op","BA"
